Country Name,Country Code,2020
Aruba,ABW,2.333333333
Africa Eastern and Southern,AFE,30.17425271
Afghanistan,AFG,1.852781994
Africa Western and Central,AFW,19.81677741
Angola,AGO,53.42695115
Albania,ALB,28.7919708
Andorra,AND,34.04255319
Arab World,ARB,2.808895261
United Arab Emirates,ARE,4.467755562
Argentina,ARG,10.44071488
Armenia,ARM,11.5374078
American Samoa,ASM,85.65
Antigua and Barbuda,ATG,18.45454545
Australia,AUS,17.42131456
Austria,AUT,47.25096946
Azerbaijan,AZE,13.69418968
Burundi,BDI,10.8894081
Belgium,BEL,22.76420079
Benin,BEN,27.80374246
Burkina Faso,BFA,22.72076023
Bangladesh,BGD,14.46877161
Bulgaria,BGR,35.86035372
Bahrain,BHR,0.891719745
"Bahamas, The",BHS,50.93506494
Bosnia and Herzegovina,BIH,42.73261719
Belarus,BLR,43.19440339
Belize,BLZ,55.98640947
Bermuda,BMU,18.51851852
Bolivia,BOL,46.92491461
Brazil,BRA,59.41747805
Barbados,BRB,14.65116279
Brunei Darussalam,BRN,72.10626186
Bhutan,BTN,71.44939696
Botswana,BWA,26.91705045
Central African Republic,CAF,35.80050724
Canada,CAN,38.69551251
Central Europe and the Baltics,CEB,34.55928473
Switzerland,CHE,32.12153594
Channel Islands,CHI,5.151515152
Chile,CHL,24.49215367
China,CHN,23.4313229
Cote d'Ivoire,CIV,8.920471698
Cameroon,CMR,43.02951069
"Congo, Dem. Rep.",COD,55.64731259
"Congo, Rep.",COG,64.26354319
Colombia,COL,53.30501127
Comoros,COM,17.68941429
Cabo Verde,CPV,11.34491315
Costa Rica,CRI,59.43732863
Caribbean small states,CSS,89.82072372
Cuba,CUB,31.23314066
Curacao,CUW,0.157657658
Cayman Islands,CYM,53
Cyprus,CYP,18.67207792
Czechia,CZE,34.67799193
Germany,DEU,32.68267552
Djibouti,DJI,0.250215703
Dominica,DMA,63.82666667
Denmark,DNK,15.711
Dominican Republic,DOM,45.10950748
Algeria,DZA,0.81830896
East Asia & Pacific (excluding high income),EAP,30.49509578
Early-demographic dividend,EAR,22.78398723
East Asia & Pacific,EAS,27.17984738
Europe & Central Asia (excluding high income),ECA,39.52502221
Europe & Central Asia,ECS,38.52496554
Ecuador,ECU,50.32142857
"Egypt, Arab Rep.",EGY,0.045185594
Euro area,EMU,38.675211
Eritrea,ERI,8.71821524
Spain,ESP,37.17730549
Estonia,EST,57.03859649
Ethiopia,ETH,15.12398953
European Union,EUU,39.84321415
Fragile and conflict affected situations,FCS,23.0314787
Finland,FIN,73.72836744
Fiji,FJI,62.39846743
France,FRA,31.50904837
Faroe Islands,FRO,0.058565154
"Micronesia, Fed. Sts.",FSM,92.02857143
Gabon,GAB,91.32068149
United Kingdom,GBR,13.18563221
Georgia,GEO,40.61591596
Ghana,GHA,35.09693099
Gibraltar,GIB,0
Guinea,GIN,25.18720495
"Gambia, The",GMB,23.97924901
Guinea-Bissau,GNB,70.4128734
Equatorial Guinea,GNQ,87.28770053
Greece,GRC,30.26997673
Grenada,GRD,52.05882353
Greenland,GRL,0.000535997
Guatemala,GTM,32.92086599
Guam,GUM,51.85185185
Guyana,GUY,93.5501143
High income,HIC,29.68394168
"Hong Kong SAR, China",HKG,
Honduras,HND,56.83492716
Heavily indebted poor countries (HIPC),HPC,27.10778864
Croatia,HRV,34.65171551
Haiti,HTI,12.60159652
Hungary,HUN,22.49627438
IBRD only,IBD,33.94586749
IDA & IBRD total,IBT,31.76525444
IDA total,IDA,25.59724179
IDA blend,IDB,29.75449184
Indonesia,IDN,49.07178037
IDA only,IDX,24.71683942
Isle of Man,IMN,6.070175439
India,IND,24.27022827
Not classified,INX,
Ireland,IRL,11.35172013
"Iran, Islamic Rep.",IRN,6.626730354
Iraq,IRQ,1.900361184
Iceland,ISL,0.509273034
Israel,ISR,6.469500924
Italy,ITA,32.34893496
Jamaica,JAM,55.11449677
Jordan,JOR,1.098047165
Japan,JPN,68.40877915
Kazakhstan,KAZ,1.279653295
Kenya,KEN,6.344818498
Kyrgyz Republic,KGZ,6.858081335
Cambodia,KHM,45.7079651
Kiribati,KIR,1.456790123
St. Kitts and Nevis,KNA,42.30769231
"Korea, Rep.",KOR,64.41598361
Kuwait,KWT,0.350729517
Latin America & Caribbean (excluding high income),LAC,46.91572583
Lao PDR,LAO,71.9042461
Lebanon,LBN,14.01075269
Liberia,LBR,79.08471761
Libya,LBY,0.123327688
St. Lucia,LCA,34.04918033
Latin America & Caribbean,LCN,46.5128137
Least developed countries: UN classification,LDC,26.23782517
Low income,LIC,20.29028216
Liechtenstein,LIE,41.875
Sri Lanka,LKA,34.15809893
Lower middle income,LMC,24.34265137
Low & middle income,LMY,31.54148207
Lesotho,LSO,1.137022398
Late-demographic dividend,LTE,39.53329435
Lithuania,LTU,35.14851485
Luxembourg,LUX,34.45382721
Latvia,LVA,54.80941668
"Macao SAR, China",MAC,
St. Martin (French part),MAF,24.8
Morocco,MAR,12.86688326
Monaco,MCO,0
Moldova,MDA,11.75322187
Madagascar,MDG,21.36440358
Maldives,MDV,2.733333333
Middle East & North Africa,MEA,2.05089672
Mexico,MEX,33.79309139
Marshall Islands,MHL,52.22222222
Middle income,MIC,33.64500541
North Macedonia,MKD,39.71015067
Mali,MLI,10.89666363
Malta,MLT,1.4375
Myanmar,MMR,43.73403098
Middle East & North Africa (excluding high income),MNA,2.496967229
Montenegro,MNE,61.48698885
Mongolia,MNG,9.099658488
Northern Mariana Islands,MNP,52.95652174
Mozambique,MOZ,46.72519647
Mauritania,MRT,0.30348307
Mauritius,MUS,19.41412118
Malawi,MWI,23.77704709
Malaysia,MYS,58.17695937
North America,NAC,36.25693036
Namibia,NAM,8.06386571
New Caledonia,NCL,45.84354486
Niger,NER,0.852372306
Nigeria,NGA,23.74578653
Nicaragua,NIC,28.31585508
Netherlands,NLD,10.97416097
Norway,NOR,33.43535968
Nepal,NPL,41.59072201
Nauru,NRU,0
New Zealand,NZL,37.57012647
OECD members,OED,32.76024787
Oman,OMN,0.008077544
Other small states,OSS,28.72443125
Pakistan,PAK,4.833307389
Panama,PAN,56.80560798
Peru,PER,56.50810156
Philippines,PHL,24.10903176
Palau,PLW,90.02173913
Papua New Guinea,PNG,79.17625756
Poland,POL,30.9770359
Pre-demographic dividend,PRE,25.81166597
Puerto Rico,PRI,55.95603157
"Korea, Dem. People's Rep.",PRK,50.07964455
Portugal,PRT,36.15499489
Paraguay,PRY,40.52922225
West Bank and Gaza,PSE,1.684385382
Pacific island small states,PSS,68.48511302
Post-demographic dividend,PST,32.11087456
French Polynesia,PYF,43.05963699
Qatar,QAT,0
Romania,ROU,30.11582928
Russian Federation,RUS,49.78433608
Rwanda,RWA,11.18767734
South Asia,SAS,18.82105482
Saudi Arabia,SAU,0.454484135
Sudan,SDN,9.828452891
Senegal,SEN,41.90598868
Singapore,SGP,21.68523677
Solomon Islands,SLB,90.13826367
Sierra Leone,SLE,35.11886949
El Salvador,SLV,28.17953668
San Marino,SMR,16.66666667
Somalia,SOM,9.532311028
Serbia,SRB,32.37780949
Sub-Saharan Africa (excluding high income),SSA,26.25170733
South Sudan,SSD,11.32562151
Sub-Saharan Africa,SSF,26.25261245
Small states,SST,39.63629754
Sao Tome and Principe,STP,54.0625
Suriname,SUR,97.41211538
Slovak Republic,SVK,40.05615641
Slovenia,SVN,61.47225919
Sweden,SWE,68.69907031
Eswatini,SWZ,28.92790698
Sint Maarten (Dutch part),SXM,10.88235294
Seychelles,SYC,73.26086957
Syrian Arab Republic,SYR,2.843108425
Turks and Caicos Islands,TCA,11.07368421
Chad,TCD,3.425190597
East Asia & Pacific (IDA & IBRD countries),TEA,30.34642794
Europe & Central Asia (IDA & IBRD countries),TEC,39.30512664
Togo,TGO,22.23331495
Thailand,THA,38.89878447
Tajikistan,TJK,3.053534116
Turkmenistan,TKM,8.782159045
Latin America & the Caribbean (IDA & IBRD countries),TLA,46.58986858
Timor-Leste,TLS,61.94351042
Middle East & North Africa (IDA & IBRD countries),TMN,2.497534136
Tonga,TON,12.43055556
South Asia (IDA & IBRD),TSA,18.82105482
Sub-Saharan Africa (IDA & IBRD countries),TSS,26.25261245
Trinidad and Tobago,TTO,44.48148148
Tunisia,TUN,4.523236354
Turkiye,TUR,28.8714837
Tuvalu,TUV,33.33333333
Tanzania,TZA,51.64258298
Uganda,UGA,11.65918612
Ukraine,UKR,16.72419745
Upper middle income,UMC,37.71750095
Uruguay,URY,11.60438807
United States,USA,33.86692641
Uzbekistan,UZB,8.373221378
St. Vincent and the Grenadines,VCT,73.17948718
"Venezuela, RB",VEN,52.41301514
British Virgin Islands,VGB,24.13333333
Virgin Islands (U.S.),VIR,56.88571429
Viet Nam,VNM,46.71900175
Vanuatu,VUT,36.28383921
World,WLD,31.17690459
Samoa,WSM,58.15467626
Kosovo,XKX,
"Yemen, Rep.",YEM,1.039831809
South Africa,ZAF,14.05509072
Zambia,ZMB,60.28333714
Zimbabwe,ZWE,45.09391237
